饭团	6	海苔		实惠、家常、素、饱腹、和风					
海鲜味噌汤	8	海苔		实惠、家常、素、汤羹					重油
司康饼	8	黄油、面粉		实惠、饱腹、西式					
炙猪肉饭团	14	猪肉		实惠、家常、肉、饱腹、和风					
炒肉丝	15	猪肉		实惠、家常、肉、下酒、重油、中华					
油豆腐	16	豆腐		实惠、家常、素、重油、和风					
腌黄瓜	16	黄瓜、黑盐		实惠、素、下酒、小巧、咸					
露水煮蛋	18	鸡蛋、露水		实惠、清淡、生					肉、水产、重油
烤蘑菇	18	蘑菇		实惠、素、咸、灼热、菌类、烧烤					
豆腐锅	19	豆腐		实惠、素、清淡、灼热、和风					
香炸蝉蜕	19	蝉蜕		实惠、重油、猎奇					
猪肉盖浇饭	20	猪肉		家常、肉、饱腹					
牛肉盖浇饭	20	牛肉		家常、肉、饱腹					
奶油炖菜	20	洋葱、蘑菇、黄油		素、菌类、汤羹、西式					
蘑菇肉片	20	猪肉、蘑菇		家常、肉、重油、菌类					
凉菜雕花	20	萝卜		素、清淡、凉爽、适合拍照					肉、灼热
豆腐味噌	21	豆腐		家常、素、清淡、汤羹、和风					重油
冷豆腐	21	豆腐、萝卜		家常、素、下酒、清淡、小巧					
煮豆腐	22	豆腐		家常、素、清淡					
土豆可乐饼	22	土豆		家常、素、重油					凉爽
炸虾天妇罗	22	虾、面粉		下酒、重油					清淡
热松饼	22	鸡蛋、蜂蜜、面粉		饱腹、甜、西式					
烤八目鳗	22	八目鳗		招牌、水产、烧烤					肉、素
臭豆腐	24	豆腐、辣椒		素、辣、猎奇、中华					甜、果味
大阪烧	24	萝卜、鸡蛋、面粉		招牌、小巧、适合拍照、和风					
丧气芝士条	25	白果、白果、芝士		下酒、咸、鲜、特产					
炸猪肉排	25	猪肉		家常、肉、饱腹、重油					
竹笋炒肉	25	猪肉、竹笋		家常、肉、下酒					
北极甜虾蜜桃色拉	25	虾、桃子、冰块		素、水产、清淡、甜、果味、不可思议、适合拍照					肉、咸
芝士蛋	26	鸡蛋、芝士		重油、咸、鲜、生					肉
猫饭	26	鳟鱼、露水、面粉		水产、小巧、鲜					重油
猪肉鳟鱼熏	26	鳟鱼、猪肉		家常、肉、水产、烧烤					
炸八目鳗	27	八目鳗		招牌、水产、重油					凉爽
狮子头	28	牛肉		招牌、肉、下酒、鲜、特产					水产、饱腹
奶香蘑菇汤	28	土豆、蘑菇、奶油		家常、适合拍照、菌类					
手握寿司	28	三文鱼、金枪鱼		水产、清淡、鲜、生、文化底蕴、和风					
麻薯	30	糯米		小巧、甜、和风					肉、水产、咸、鲜
秘制小鱼干	30	鳟鱼		水产、小巧、咸、鲜					
温暖饭团	30	鳟鱼、洋葱		家常、素、水产、饱腹、灼热、和风					
樱花布丁	32	桃子、蜂蜜		小巧、甜、果味、凉爽、适合拍照、特产					重油、咸
麻婆豆腐	32	猪肉、豆腐、辣椒		素、辣、灼热、中华					甜、果味、凉爽
力量汤	34	野猪肉、海苔		肉、山珍、灼热、力量涌现、汤羹					小巧、凉爽
水饺	35	面粉		家常、素、文化底蕴、中华					
汤圆	35	糯米		家常、素、文化底蕴、中华					
班尼迪克蛋	35	竹笋、鸡蛋、黄油、面粉		饱腹、小巧、生、西式					甜、果味
章鱼烧	36	章鱼、海苔、面粉		招牌、水产、饱腹、小巧、适合拍照					
阴郁水果派	36	葡萄、柠檬、芝士		酸、咸、鲜、果味、特产					
杂炊	40	鳟鱼、豆腐、海苔		家常、肉、鲜、灼热					
竹筒蒸蛋	40	海苔、蘑菇、鸡蛋、竹子		家常、清淡、菌类					
黄金酥鱼饼	40	鳟鱼、蜂蜜、面粉		水产、下酒、重油、力量涌现					
流水素面	40	面粉、竹子		素、清淡、凉爽、不可思议					重油
提神布丁	42	葡萄、葡萄、柠檬		小巧、酸、甜、果味、凉爽、力量涌现					重油、咸
红烧鳗鱼	42	八目鳗、洋葱		招牌、素、水产、重油、鲜					
脆旋风	42	蜂蜜、蝉蜕、面粉		饱腹、生、猎奇、特产					重油
三文鱼天妇罗	44	三文鱼、鸡蛋、黄油、面粉		水产、重油、小巧、高级、鲜					
樱落雪	50	极上金枪鱼		水产、小巧、高级、生、海味、适合拍照、和风					重油
能量串	50	牛肉、洋葱、南瓜		肉、饱腹、烧烤					
桃花羹	55	桃子、露水、冰块		素、甜、果味、凉爽、适合拍照、汤羹					
真·海鲜味噌汤	55	鳟鱼、三文鱼		家常、水产、清淡、汤羹					
南瓜虾盅	55	虾、豆腐、南瓜		水产、饱腹、清淡、甜、鲜、适合拍照、特产					
白桃生八桥	55	桃子、糯米		甜、果味、和风					肉、水产、咸、鲜
普通小蛋糕	56	鸡蛋、葡萄、奶油		高级、甜、果味、适合拍照、文化底蕴					
蔬菜专辑	56	土豆、洋葱、南瓜		素、清淡、生、凉爽					肉、水产、灼热
香煎三文鱼	58	三文鱼、竹笋		肉、鲜、西式					
豚骨拉面	60	猪肉、海苔、鸡蛋		家常、肉、饱腹、咸					
诗礼银杏	60	白果、蜂蜜		素、甜、文化底蕴、中华					咸
黄油牛排	60	和牛、黄油		肉、饱腹、重油、西式					甜、凉爽
巨人玉子烧	60	鸡蛋、鸡蛋、面粉、面粉		饱腹、高级、甜、力量涌现、和风					下酒
猩红恶魔蛋糕	60	土豆、南瓜、蜂蜜、露水		甜、梦幻、猎奇、适合拍照、西式					
无意识妖怪慕斯	60	豆腐、洋葱、蜂蜜、黄油		高级、甜、梦幻、适合拍照、西式					
秘制鲜菌煲	62	蘑菇、松露、露水		昂贵、鲜、菌类、特产、和风					
一击☆必杀	62	鹿肉、野猪肉、洋葱		昂贵、肉、饱腹、重油、山珍、力量涌现					
白果萝卜排骨汤	65	猪肉、萝卜、白果		昂贵、肉、灼热、汤羹、中华					
竹取姬	65	黑毛猪肉、松露、竹笋、白果、竹子		昂贵、肉、高级、传说、适合拍照、文化底蕴、特产、和风					
不死鸟	65	土豆、洋葱、萝卜、蜂蜜、面粉		昂贵、高级、传说、燃起来了、适合拍照、烧烤、西式					
野味加农	66	黑毛猪肉、土豆、南瓜		昂贵、肉、饱腹、重油、山珍、灼热					
仰望天花板派	66	鳟鱼、桃子、面粉		昂贵、招牌、下酒、海味、猎奇、适合拍照、特产					肉
月之恋人	66	鸡蛋、黄油、面粉、月光草		昂贵、小巧、甜、适合拍照、特产					肉、素、水产
水煮鱼	68	鳟鱼、辣椒		昂贵、水产、辣、灼热、燃起来了、中华					肉、甜、果味、凉爽
意式烩饭	70	洋葱、蘑菇、竹笋、黄油		昂贵、饱腹、鲜、菌类、西式					甜
赛熊掌	70	河豚、黑毛猪肉、竹笋		昂贵、肉、水产、高级、鲜、山珍、不可思议、力量涌现					
蜜汁叉烧	70	猪肉、蜂蜜		昂贵、肉、重油、甜、不可思议、中华					
燃尽布丁	73	蜂蜜、葡萄、柠檬、柠檬		昂贵、招牌、小巧、酸、甜、果味、凉爽、梦幻、力量涌现					重油、咸
毛玉三色冰激凌	75	豆腐、鸡蛋、蜂蜜、露水		昂贵、甜、凉爽、梦幻、适合拍照、西式					
幻昙花糕	78	幻昙华、露水		昂贵、高级、传说、甜、梦幻、适合拍照					肉、水产
猪鹿蝶	78	鹿肉、野猪肉、月光草		昂贵、肉、高级、适合拍照、文化底蕴					
月光团子	80	糯米、月光草		昂贵、甜、不可思议、特产、和风					肉、水产、咸、鲜
毛玉熔岩豆腐	85	牛肉、豆腐、洋葱、辣椒		昂贵、素、鲜、不可思议、适合拍照、中华					
奶油焗蟹	88	螃蟹、奶油		昂贵、招牌、下酒、高级、鲜、海味、适合拍照					
刺身拼盘	88	三文鱼、金枪鱼		昂贵、水产、高级、生、适合拍照、和风					灼热
二天一流	90	野猪肉、黑毛猪肉		昂贵、肉、高级、山珍、燃起来了、文化底蕴、烧烤					家常
绝叫关东煮	92	牛肉、豆腐、萝卜、辣椒、辣椒		昂贵、肉、饱腹、大份、高级、辣、鲜、灼热、力量涌现、特产					
